Hostname,IP Address,Status
GCAISSE-NUK.togocom.int,10.228.15.100; 10.228.14.54,Resolved
LO-VOCAL-WRTC02.togocom.int,10.228.15.100; 10.228.36.217,Resolved
GCAISSE-AFA.togocom.int,10.228.15.100; 10.228.14.21,Resolved
CA-SEGURA-CONNECTOR.yas.tg,10.228.15.100; 10.228.15.75,Resolved
GCAISSE-AGC.togocom.int,10.228.15.100; 10.228.14.58,Resolved
GCAISSE-AGO.togocom.int,10.228.15.100; 10.228.14.22,Resolved
ca-basws2019.togocom.int,10.228.15.100; 10.228.48.18,Resolved
GCAISSE-BLI.togocom.int,10.228.15.100; 10.228.14.46,Resolved
CA-HAPROXYPROD.ws.togocom.tg,Not found or domain doesn't exist,Not Resolved
GCAISSE-ELAV.togocom.int,10.228.15.100; 10.228.14.51,Resolved
GCAISSE-ZAN.togocom.int,10.228.15.100; 10.228.14.57,Resolved
CA-SAGEX3-APP.togocom.int,10.228.15.100; 10.228.14.90,Resolved
GCAISSE-TCH.togocom.int,10.228.15.100; 10.228.14.31,Resolved
GCAISSE-PORT.togocom.int,10.228.15.100; 10.228.14.36,Resolved
SYMANTEC.togocom.int,10.228.15.100; 10.228.15.31,Resolved
CA-EDW-FE01.togocom.int,10.228.15.100; 10.228.11.39,Resolved
GCAISSE-TSE.togocom.int,10.228.15.100; 10.228.14.33,Resolved
LO-LAPS.togocom.int,10.228.15.100; 10.228.15.222,Resolved
CA-EDW-ETL04.togocom.int,10.228.15.100; 10.228.11.38,Resolved
GCAISSE-BAS.togocom.int,10.228.15.100; 10.228.14.26,Resolved
RDS-PARTENAIRE.togocom.int,10.228.15.100; 192.168.20.185,Resolved
LO-ISOC-APP.togocom.int,10.228.15.100; 10.228.15.221,Resolved
CA-DHCP01.togocom.int,10.228.15.100; 10.228.15.54,Resolved
GCAISSE-AFG.togocom.int,10.228.15.100; 10.228.14.59,Resolved
CA-VOCAL-DB02.togocom.int,10.228.15.100; 10.228.11.83,Resolved
CA-RADIUS-01.togocom.int,10.228.15.100; 10.228.15.64,Resolved
GCAISSE-DAP.togocom.int,10.228.15.100; 10.228.14.38,Resolved
CA-PRD-SHR-WSJMPB01.togocom.int,10.228.15.100; 10.228.13.31,Resolved
CA-VAS-BNG01.togocom.tg,Not found or domain doesn't exist,Not Resolved
LO-VOCAL-ONXMM2.togocom.int,10.228.15.100; 10.228.11.138,Resolved
SFTP-ACI-BACKUP.yas.tg,Not found or domain doesn't exist,Not Resolved
LO-RSYSLOG01.togocom.tg,Not found or domain doesn't exist,Not Resolved
prp01-db2.ws.togocom.tg,10.228.15.100; 10.228.19.208,Resolved
LO-SEGURA-BACKUP.yas.tg,10.228.15.100; 10.228.15.227,Resolved
CA-SYSHELP.togocom.int,10.228.15.100; 10.228.14.70,Resolved
VMCDP-ROBON.togocom.int,10.228.15.100; 10.228.12.251,Resolved
CA-NEXT-REPORTS.togocom.int,10.228.15.100; 10.228.15.43,Resolved
CA-SOCasS-TEST.togocom.int,10.228.15.100; 10.228.15.69,Resolved
CA-VOCAL-ONXMM1.togocom.int,10.228.15.100; 10.228.11.97,Resolved
GCAISSE-BAD.togocom.int,10.228.15.100; 10.228.14.25,Resolved
LO-WSUS.togocom.int,10.228.15.100; 10.228.15.251,Resolved
*.yas.tg,Not found or domain doesn't exist,Not Resolved
GCAISSE-TAB.togocom.int,10.228.15.100; 10.228.14.30,Resolved
LO-GCAISSE-TGT.togocom.int,10.228.15.100; 10.228.14.210,Resolved
DESKTOP-6B9FPCH.togocom.int,10.228.15.100; 192.168.20.213,Resolved
GCAISSE-TOHOU.togocom.int,10.228.15.100; 10.228.14.48,Resolved
TG-INFRACA-DC.togocom.int,10.228.15.100; 10.228.15.100,Resolved
LO-X3-SYRACUSE2.togocom.int,10.228.15.100; 10.228.14.208,Resolved
GMAO-DBGALAXY1.togocom.int,10.228.15.100; 10.228.32.14,Resolved
CA-CERTMGMT-WIN.togocom.int,10.228.15.100; 10.228.15.35,Resolved
GCAISSE-AGOENYVE.togocom.int,10.228.15.100; 10.228.14.34,Resolved
GCAISSE-MON.togocom.int,10.228.15.100; 10.228.14.53,Resolved
CA-MIXX-AI-ANALYSIS.yas.tg,10.228.15.100; 10.228.10.104,Resolved
GCAISSE-SOK.togocom.int,10.228.15.100; 10.228.14.40,Resolved
GCAISSE-AGP.togocom.int,10.228.15.100; 10.228.14.61,Resolved
yas.tg,10.228.15.100; 104.18.2.27,Resolved
CA-REPLI-KURVE-DB.togocom.tg,Not found or domain doesn't exist,Not Resolved
ca-prp-pgw-app.momo.togocom.tg,10.228.15.100; 10.228.18.29,Resolved
CA-NESSUS.togocom.int,10.228.15.100; 10.228.15.59,Resolved
CA-VOCAL-DB01.togocom.int,10.228.15.100; 10.228.11.82,Resolved
CA-ARCGIS.togocom.int,10.228.15.100; 10.228.32.18,Resolved
LO-ETL-LOC01.togocom.int,10.228.15.100; 10.228.11.235,Resolved
GCAISSE-NOT.togocom.int,10.228.15.100; 10.228.14.43,Resolved
LO-KMS-LICENCE.togocom.int,10.228.15.100; 10.228.15.235,Resolved
BI-FTP.togocom.int,10.228.15.100; 192.168.20.49,Resolved
LO-VOCAL-ADM02.togocom.int,10.228.15.100; 10.228.11.140,Resolved
ca-prd-umetl01.momo.togocom.tg,10.228.15.100; 10.228.10.21,Resolved
VOCAL-DB02-TEST.togocom.int,10.228.15.100; 10.228.11.118,Resolved
GCAISSE-SOT.togocom.int,10.228.15.100; 10.228.14.29,Resolved
GCAISSE-AGG.togocom.int,10.228.15.100; 10.228.14.44,Resolved
LO-EDW-TEST.togocom.int,10.228.15.100; 10.228.11.115,Resolved
LO-DLH-PWBI-GRAF.togocom.int,10.228.15.100; 10.228.11.197,Resolved
ca-prd-umutil01.momo.togocom.tg,10.228.15.100; 10.228.10.31,Resolved
GCAISSE-TOT.togocom.int,10.228.15.100; 10.228.14.32,Resolved
CA-ATOLL-APP.togocom.int,10.228.15.100; 10.228.32.26,Resolved
LO-MOMO-EDW01.togocom.int,10.228.15.100; 10.228.11.236,Resolved
GCAISSE-AML.togocom.int,10.228.15.100; 10.228.14.37,Resolved
GCAISSE-AHA.togocom.int,10.228.15.100; 10.228.14.52,Resolved
LO-VOCAL-DB03.togocom.int,10.228.15.100; 10.228.11.142,Resolved
CA-EDW-ETL02.togocom.int,10.228.15.100; 10.228.11.36,Resolved
LO-SQL-TEST-02.togocom.int,10.228.15.100; 10.228.15.224,Resolved
CA-ECHXRT.togocom.int,10.228.15.100; 10.228.15.68,Resolved
CA-ETL-BI.togocom.int,10.228.15.100; 10.228.15.71,Resolved
GCAISSE-AERO.togocom.int,10.228.15.100; 10.228.14.55,Resolved
ca-prd-umdbe01.momo.togocom.tg,10.228.15.100; 10.228.10.28,Resolved
shr01-nxs1.ws.togocom.tg,10.228.15.100; 10.228.11.12,Resolved
lo-amiraclient.togocom.int,10.228.15.100; 10.228.15.211,Resolved
CA-MIXX-FILESRV.togocom.int,10.228.15.100; 10.228.10.107,Resolved
TG-INFRALO-DC.togocom.int,10.228.15.100; 10.228.15.200,Resolved
GCAISSE-ANI.togocom.int,10.228.15.100; 10.228.14.24,Resolved
GCAISSE-ADI.togocom.int,10.228.15.100; 10.228.14.56,Resolved
GCAISSE-KEV.togocom.int,10.228.15.100; 10.228.14.47,Resolved
CA-GMAO-MGNT.togocom.int,10.228.15.100; 10.229.10.101,Resolved
CA-VOCAL-ONXMS1.togocom.int,10.228.15.100; 10.228.11.98,Resolved
CA-FILSTORSRV.togocom.int,10.228.15.100; 10.228.15.80,Resolved
GCAISSE-KAN.togocom.int,10.228.15.100; 10.228.14.49,Resolved
ca-lumata-db01.togocom.tg,Not found or domain doesn't exist,Not Resolved
CA-EDW-ETL03.togocom.int,10.228.15.100; 10.228.11.37,Resolved
GCAISSE-KAR.togocom.int,10.228.15.100; 10.228.14.28,Resolved
CA-RA-ETL.togocom.int,10.228.15.100; 10.228.14.87,Resolved
dev01-apim1.ws.togocom.tg,10.228.15.100; 10.228.27.12,Resolved
LO-SEGURA-CONNECTOR.yas.tg,10.228.15.100; 10.228.15.226,Resolved
CA-BSSOSS-APP03.togocom.int,10.228.15.100; 10.228.12.29,Resolved
dev01-amq1.ws.togocom.tg,10.228.15.100; 10.228.27.13,Resolved
CA-GMAODB1.togocom.tg,Not found or domain doesn't exist,Not Resolved
GCAISSE-CIN.togocom.int,10.228.15.100; 10.228.14.27,Resolved
LO-USB-LOCK-RP.togocom.int,10.228.15.100; 10.228.15.231,Resolved
HSM-BCEAO.togocom.int,10.228.15.100; 192.168.20.14,Resolved
CA-SOSCASS-WIN.togocom.int,10.228.15.100; 10.228.15.70,Resolved
labcncc1.oam.yas.tg,Not found or domain doesn't exist,Not Resolved
CA-BALANCE-PLUS01.togocom.int,Not found or domain doesn't exist,Not Resolved
